"temperature_2m","windspeed_100m","sin_wd_100","Power"
14.5,9.58,0.951056516295154,0.2574
14.5,9.23,0.951056516295154,0.2535
14.7,9.27,0.961261695938319,0.2497
14.7,9.08,0.933580426497202,0.2458
14.8,8.72,0.90630778703665,0.2419
14.7,8.83,0.857167300702112,0.2354
14.4,8.98,0.788010753606722,0.2261
14.2,9.24,0.829037572555042,0.2168
14.1,9.1,0.838670567945424,0.2075
14.2,8.77,0.819152044288992,0.1982
14.5,8.17,0.766044443118978,0.1889
14.8,7.28,0.798635510047293,0.1796
15.4,6.72,0.719339800338651,0.17
15.5,6.96,0.573576436351046,0.16
16,5.73,0.422618261740699,0.15
15.4,8.32,0.453990499739547,0.14
14.8,8.32,0.309016994374947,0.13
13.8,9,0.207911690817759,0.12
12.9,8.4,-0.0174524064372836,0.1295
11.9,8.75,-0.104528463267653,0.1586
11.2,8.63,-0.17364817766693,0.1877
10,9.86,-0.390731128489274,0.2168
8.7,10.61,-0.484809620246337,0.2459
6.2,12.58,-0.484809620246337,0.275
3.8,13.21,-0.484809620246337,0.3041
2.1,14.27,-0.469471562785891,0.3332
0.8,14.05,-0.469471562785891,0.3623
0.2,14.31,-0.438371146789078,0.3914
0.1,13.42,-0.422618261740699,0.4205
0.1,12.74,-0.515038074910054,0.4486
-1,15.76,-0.587785252292473,0.4757
-2.8,15.85,-0.629320391049838,0.5029
-3.6,16.12,-0.694658370458998,0.53
-3.6,16.58,-0.743144825477395,0.5571
-3.5,16.07,-0.743144825477395,0.5843
-3.8,15.29,-0.743144825477395,0.6114
-4.4,15.25,-0.766044443118978,0.6154
-4.9,14.69,-0.766044443118978,0.5962
-5,14.12,-0.766044443118978,0.5771
-5.3,13.65,-0.777145961456971,0.5579
-6.2,13.81,-0.777145961456971,0.5388
-7.5,13.74,-0.809016994374948,0.5196
-8,13.81,-0.743144825477395,0.51
-8.9,14.17,-0.788010753606722,0.51
-9.5,14.4,-0.809016994374948,0.51
-10,14.31,-0.829037572555042,0.51
-10.7,14.65,-0.819152044288992,0.51
-11.3,14.24,-0.809016994374948,0.51
-11.8,13.76,-0.829037572555042,0.51
-12.4,13.55,-0.857167300702112,0.51
-12.7,13.52,-0.848048096156426,0.51
-12.8,13.34,-0.829037572555042,0.51
-12.7,12.98,-0.819152044288992,0.51
-12.6,12.86,-0.798635510047293,0.4862
-13.2,11.7,-0.766044443118978,0.4388
-13.6,11.29,-0.819152044288992,0.3913
-14,11.14,-0.898794046299167,0.3438
-13.9,11.14,-0.90630778703665,0.2962
-12.6,11.11,-0.933580426497202,0.2488
-11.6,11.43,-0.978147600733806,0.2013
-10.7,11.23,-0.997564050259824,0.1952
-9.3,10.98,-0.992546151641322,0.2306
-8.8,10.89,-0.974370064785235,0.266
-8.7,10.79,-0.974370064785235,0.3015
-9.7,10.36,-0.965925826289068,0.3369
-11.3,10.4,-0.951056516295154,0.3723
-11,10.73,-0.891006524188368,0.3919
-11.4,10.88,-0.874619707139396,0.3958
-11.8,10.86,-0.857167300702112,0.3997
-12.4,11.19,-0.874619707139396,0.4035
-12.6,11.2,-0.866025403784439,0.4074
-13.1,11.32,-0.848048096156426,0.4112
-13.2,10.87,-0.829037572555042,0.4151
-14,10.63,-0.819152044288992,0.419
-14.5,10.76,-0.819152044288992,0.4228
-14.5,11.3,-0.809016994374948,0.4267
-14.3,11.4,-0.788010753606722,0.4306
-14.3,11.82,-0.73135370161917,0.422
-12,11.69,-0.656059028990507,0.4009
-12.7,11.53,-0.629320391049838,0.3798
-13.7,10.82,-0.615661475325658,0.3588
-14.3,10.61,-0.681998360062498,0.3377
-13.7,10.56,-0.743144825477395,0.3166
-12.8,10.39,-0.777145961456971,0.2955
-11.9,10.21,-0.819152044288992,0.2925
-11.6,9.98,-0.882947592858927,0.3075
-11.7,10.16,-0.913545457642601,0.3225
-11.7,10.44,-0.92050485345244,0.3375
-12.3,10.64,-0.927183854566787,0.3525
-13.4,11.01,-0.956304755963035,0.3675
-13.4,10.72,-0.951056516295154,0.3673
-13.2,10.85,-0.956304755963035,0.3518
-13.2,11.09,-0.974370064785235,0.3364
-12.7,11.87,-0.978147600733806,0.3209
-12.1,12.01,-0.974370064785235,0.3055
-11.6,11.98,-0.965925826289068,0.29
-11.3,12.09,-0.961261695938319,0.2745
-10.8,11.77,-0.945518575599317,0.2591
-10.7,11.5,-0.913545457642601,0.2436
-10.9,10.91,-0.891006524188368,0.2282
-11,10.41,-0.857167300702112,0.2127
-11.2,9.93,-0.829037572555042,0.1979
-10.1,8.91,-0.707106781186548,0.1837
-9.7,8.28,-0.694658370458998,0.1694
-10.2,7.21,-0.694658370458998,0.1552
-10.1,7.12,-0.788010753606722,0.141
-8.8,6.49,-0.829037572555042,0.1267
-6,5.88,-0.848048096156426,0.1125
-3.7,5.55,-0.92050485345244,0.0983
-1.8,5.73,-0.961261695938319,0.084
-0.8,5.85,-0.939692620785908,0.0698
-0.3,5.77,-0.882947592858927,0.0556
-0.8,6.17,-0.766044443118978,0.0413
-4.3,6.86,-0.681998360062498,0.0271
-5.3,6.95,-0.5,0.0418
-6.6,7.16,-0.656059028990507,0.0855
-7,8.21,-0.73135370161917,0.1291
-7.3,9,-0.798635510047293,0.1727
-7.3,10.69,-0.882947592858927,0.2164
-6.7,12.27,-0.874619707139396,0.26
-6.4,12.71,-0.819152044288992,0.3036
-6.8,13.18,-0.788010753606722,0.3473
-7.4,12.68,-0.754709580222772,0.3909
-7.9,12.02,-0.719339800338651,0.4345
-8.3,11.67,-0.707106781186548,0.4782
-8.9,11.54,-0.669130606358858,0.4807
-9.7,11.2,-0.601815023152048,0.4421
-10.6,10.57,-0.544639035015027,0.4036
-11.2,9.64,-0.515038074910054,0.365
-11.3,8.82,-0.484809620246337,0.3264
-9.9,7.87,-0.453990499739547,0.2879
-8.5,6.71,-0.544639035015027,0.2493
-7,5.82,-0.573576436351046,0.238
-5.9,4.55,-0.64278760968654,0.254
-6,3.33,-0.838670567945424,0.2701
-7,2.62,-0.951056516295154,0.2861
-8.9,2.97,-0.939692620785908,0.3021
-11.2,2.7,-0.777145961456971,0.3182
-11.5,4.73,-0.224951054343865,0.3342
-11.1,6.12,-0.190808995376545,0.3502
-9.8,7.71,-0.17364817766693,0.3662
-8.9,9.5,-0.139173100960066,0.3823
-8,11.39,-0.292371704722737,0.3983
-7.9,11.79,-0.224951054343865,0.4143
-7.4,12.26,-0.104528463267653,0.4304
-6.7,13.21,-0.0348994967025009,0.4464
-6.2,13.61,0.0348994967025011,0.4624
-5.6,14,0.121869343405148,0.4785
-4.6,14.48,0.156434465040231,0.4945
-3,14.81,0.17364817766693,0.4786
-1.4,15.48,0.224951054343865,0.4307
0.3,15.28,0.224951054343865,0.3829
2.3,14.68,0.156434465040231,0.335
3.8,13.09,0.121869343405148,0.2871
5.2,11.47,0.121869343405148,0.2393
6.9,11.1,-0.0174524064372836,0.1914
9.3,9.79,-0.190808995376545,0.1853
11.4,8.6,-0.390731128489274,0.2209
12.9,9.16,-0.809016994374947,0.2565
9.6,10.88,-0.939692620785908,0.292
4.2,13.14,-0.798635510047293,0.3276
1,14.43,-0.719339800338651,0.3632
-0.7,13.62,-0.559192903470747,0.3807
-1.9,12.64,-0.64278760968654,0.3802
-2.9,12.73,-0.629320391049838,0.3796
-3.9,12.12,-0.573576436351046,0.3791
-4.8,11.45,-0.629320391049838,0.3785
-5.6,11.07,-0.544639035015027,0.378
-5.4,8.95,-0.422618261740699,0.3775
-5.1,7.62,-0.0871557427476583,0.3769
-4.5,6.74,0.258819045102521,0.3764
-4.9,4.2,0.615661475325658,0.3758
-4.4,3.35,0.984807753012208,0.3753
-4.4,3.6,1,0.3482
-3,3.83,0.965925826289068,0.2946
-2.9,4.68,0.961261695938319,0.2411
-2.6,6.28,0.970295726275996,0.1875
-2.3,7.97,0.951056516295154,0.1339
-1.7,8.59,0.898794046299167,0.0804
-0.8,7.93,0.829037572555042,0.0268
0.8,9.21,0.754709580222772,0.0181
2.5,8.49,0.694658370458997,0.0543
4.6,7.95,0.642787609686539,0.0904
6.5,8.1,0.573576436351046,0.1266
6.6,6.68,0.629320391049837,0.1628
6.2,5.95,0.656059028990507,0.199
5.3,3.67,0.898794046299167,0.2351
5.2,3.56,0.788010753606722,0.2713
