"temperature_2m","windspeed_100m","sin_wd_100","Power"
12.5,7.37,-0.99026806874157,0.7329
13.2,7.99,-0.987688340595138,0.7461
13.8,8.34,-0.984807753012208,0.7152
13.6,8.39,-0.99026806874157,0.6842
13.4,8.64,-0.996194698091746,0.6533
13,8.36,-0.992546151641322,0.6223
12.8,8.11,-0.999390827019096,0.5914
10.3,8.62,-0.997564050259824,0.5923
10.3,9.34,-0.994521895368273,0.625
9.4,10.1,-0.99026806874157,0.6577
8.7,10.03,-0.996194698091746,0.6904
9,10.1,-0.981627183447664,0.7231
9.3,9.93,-0.945518575599317,0.7558
9.2,10.23,-0.927183854566787,0.7885
8.8,11.02,-0.913545457642601,0.8212
8.6,10.18,-0.92050485345244,0.8539
8.4,9.95,-0.927183854566787,0.8866
8.3,9.68,-0.92050485345244,0.9193
8.2,9.39,-0.891006524188368,0.9096
8.8,10.2,-0.798635510047293,0.8574
8.5,9.78,-0.754709580222772,0.8053
9.1,9.4,-0.707106781186548,0.7531
11,9.95,-0.629320391049838,0.701
12.5,8.35,-0.681998360062498,0.6488
14.4,7.57,-0.719339800338651,0.5967
15.5,6.58,-0.809016994374948,0.5449
16.3,6.17,-0.891006524188368,0.4934
17.4,6.28,-0.927183854566787,0.4418
17.6,5.75,-0.974370064785235,0.3903
16.5,4.62,-0.996194698091746,0.3388
15.2,5.13,-0.838670567945424,0.2873
10,6.4,-0.777145961456971,0.2871
11.4,6.72,-0.681998360062498,0.3381
11.4,6.68,-0.629320391049838,0.3892
12,6.46,-0.573576436351046,0.4402
12.6,6.66,-0.469471562785891,0.4913
12.9,7.28,-0.275637355816999,0.5423
13,7.91,-0.309016994374947,0.5934
13.4,8.38,-0.342020143325669,0.6444
13.8,9.22,-0.258819045102521,0.6955
14.2,10.29,-0.275637355816999,0.7465
14.9,9.05,-0.275637355816999,0.7976
14.9,8.86,-0.275637355816999,0.8088
15.6,11.35,-0.309016994374947,0.7802
16.5,10.58,-0.515038074910054,0.7516
17.7,8.77,-0.4067366430758,0.723
19.7,8.72,-0.469471562785891,0.6944
22.9,8.52,-0.587785252292473,0.6657
25.2,7.79,-0.669130606358858,0.6371
26.8,7.68,-0.819152044288992,0.5933
27.7,6.8,-0.838670567945424,0.5341
28.3,6.74,-0.848048096156426,0.475
28.2,6.85,-0.829037572555042,0.4159
26.7,4.74,-0.694658370458997,0.3568
24.4,4.96,-0.325568154457157,0.2977
23.3,6.43,-0.20791169081776,0.2976
24,6.53,-0.0871557427476579,0.3566
23.6,6.74,-0.104528463267653,0.4156
23.8,7.5,0.0174524064372834,0.4746
23.7,7.41,-0.0523359562429436,0.5337
24.9,7.03,-0.104528463267653,0.5927
25.2,7.01,-0.0523359562429436,0.6517
25.2,7.72,0.0697564737441255,0.7107
