"temperature_2m","windspeed_100m","sin_wd_100","Power"
22.7,7.6,1,0.3047
22,7.92,0.997564050259824,0.3516
21.7,8.41,0.998629534754574,0.3985
21.7,8.26,0.992546151641322,0.4454
22.4,8.5,0.999847695156391,0.4922
22.8,8.12,0.997564050259824,0.49
23.8,8,1,0.4386
26.8,7.91,0.999390827019096,0.3872
28.5,7.31,0.998629534754574,0.3358
29.8,7.3,0.999847695156391,0.2844
31.1,8.21,0.999390827019096,0.233
32.8,7.85,0.992546151641322,0.1816
34.5,7.07,0.99026806874157,0.1645
34.8,7.53,0.996194698091746,0.1817
34.9,7.1,0.984807753012208,0.1988
34.1,6.61,0.998629534754574,0.216
33.8,7.58,0.99026806874157,0.2331
33.4,7.35,0.978147600733806,0.2503
33.2,7.03,0.994521895368273,0.2477
33.2,7.63,0.996194698091746,0.2255
33.1,5.3,0.999390827019096,0.2033
33,5.5,0.945518575599317,0.1811
33,6.4,0.90630778703665,0.1589
33,7.07,0.99026806874157,0.1366
33.1,5.59,0.984807753012208,0.1144
33,3.35,0.956304755963036,0.0922
32.9,3.1,1,0.07
32.9,2.46,0.891006524188368,0.0478
32.7,2.82,0.104528463267653,0.0256
32.4,4.23,0.121869343405147,0.0371
32.3,2.72,0.104528463267653,0.0823
32.1,3.98,-0.20791169081776,0.1275
31.9,4.43,-0.309016994374948,0.1728
32.1,5.26,-0.629320391049838,0.218
32.7,5.11,-0.766044443118978,0.2633
33.2,7.58,-0.809016994374948,0.3085
32.7,7.96,-0.777145961456971,0.3753
33.3,8.52,-0.809016994374948,0.4637
33,8.63,-0.848048096156426,0.5521
31.7,11.13,-0.819152044288992,0.6405
28.6,11.48,-0.838670567945424,0.7288
24.9,12.71,-0.882947592858927,0.8172
24.9,12.76,-0.933580426497202,0.8647
20.3,12.68,-0.92050485345244,0.8712
15.6,13.46,-0.898794046299167,0.8777
12.1,13.64,-0.891006524188368,0.8842
9.6,13.42,-0.882947592858927,0.8907
7.5,14.1,-0.874619707139396,0.8972
6.1,14.14,-0.874619707139396,0.9037
5.4,13.78,-0.882947592858927,0.9102
5.1,13.28,-0.90630778703665,0.9167
4.9,12.67,-0.913545457642601,0.9232
4.8,13.15,-0.90630778703665,0.9297
4.4,13.1,-0.898794046299167,0.9304
4.9,11.77,-0.933580426497202,0.9254
3.7,12.48,-0.927183854566787,0.9204
2.7,12.31,-0.913545457642601,0.9153
2.2,11.91,-0.913545457642601,0.9103
2.4,11.49,-0.933580426497202,0.9052
3.2,11.35,-0.951056516295154,0.9002
4.3,10.88,-0.956304755963035,0.8776
