"temperature_2m","windspeed_100m","sin_wd_100","Power"
4.2,4.31,0.719339800338651,5e-04
4.4,5.44,0.529919264233205,2e-04
4.7,6.72,0.601815023152048,0.0078
5.2,7.62,0.615661475325658,0.0233
5.6,8.65,0.559192903470747,0.0388
6.4,9.67,0.4067366430758,0.0543
8.5,9.38,0.374606593415912,0.0698
11.9,9.68,0.275637355816999,0.0853
15.2,10.35,0.390731128489274,0.1009
19.2,10.82,0.309016994374948,0.1459
21.2,11.04,0.309016994374948,0.2205
22.9,11.48,0.309016994374948,0.2951
25,10.7,0.241921895599668,0.3697
24.7,9.6,0.241921895599668,0.4443
24.7,10.32,0.0523359562429438,0.5189
23,9.63,-0.0871557427476579,0.5366
22.3,9.17,-0.241921895599668,0.4974
22.4,8.56,-0.241921895599668,0.4581
20.2,8.74,-0.275637355816999,0.4188
19,7.83,-0.422618261740699,0.3796
18,7.83,-0.90630778703665,0.3403
17.1,8.38,-0.956304755963035,0.3011
15.1,8.66,-0.970295726275997,0.2618
13,7.61,-0.90630778703665,0.2225
11.8,6.97,-0.777145961456971,0.1833
10.9,5.28,-0.798635510047293,0.144
10.9,5.92,-0.961261695938319,0.131
12,4.4,-0.999847695156391,0.1444
13.1,3.01,-0.994521895368273,0.1577
13.7,1.65,-0.970295726275996,0.1711
14.8,1.78,0.615661475325658,0.1844
16.9,4.43,0.882947592858927,0.1977
18.3,5.73,0.681998360062499,0.2111
20.3,6.49,0.559192903470747,0.2551
21.8,6.88,0.544639035015027,0.3299
23.7,7.75,0.5,0.4046
24.4,8.62,0.615661475325658,0.4794
25.9,8.6,0.587785252292473,0.5541
25.2,9.79,0.438371146789077,0.6289
27.5,9.03,0.17364817766693,0.6544
28.5,9.41,0.258819045102521,0.6306
27.6,8.23,0.275637355816999,0.6068
28.9,8.42,0.342020143325669,0.583
27.7,8.38,0.342020143325669,0.5592
27.2,8.54,0.3583679495453,0.5354
29.3,8.28,0.207911690817759,0.5117
28.8,7.16,0.207911690817759,0.4879
30.2,8.49,0.207911690817759,0.4641
30.4,7.73,0.17364817766693,0.4403
28,5.39,0.190808995376545,0.4165
29.7,6.94,0.258819045102521,0.4152
29.3,4.34,0.139173100960065,0.4364
30.6,3.08,-0.224951054343865,0.4576
31,4.42,-0.996194698091746,0.4788
31.4,10.29,-0.891006524188368,0.4999
29.7,13.31,-0.73135370161917,0.5211
26.2,13.46,-0.656059028990507,0.5423
24.4,13.81,-0.777145961456971,0.5635
23.5,13.4,-0.809016994374948,0.5847
24.4,13.65,-0.882947592858927,0.6059
24.6,13.1,-0.891006524188368,0.627
24.1,10.81,-0.927183854566787,0.6482
21.4,9.71,-0.945518575599317,0.6694
18.8,8.16,-0.992546151641322,0.6807
17.6,6.99,-0.974370064785235,0.682
16.2,5.54,-0.939692620785908,0.6833
16.9,5.47,-0.951056516295154,0.6846
18,5.56,-0.866025403784438,0.6859
